age,favorite,roast_level,prefer_overall,gender
25-34 years old,Americano,Light,Coffee A,Male
25-34 years old,Latte,Medium,Coffee B,Female
35-44 years old,Cortado,Light,Coffee D,Male
25-34 years old,Pourover,Light,Coffee D,Male
18-24 years old,Pourover,Medium,Coffee D,Male
55-64 years old,Americano,French,Coffee D,Male
25-34 years old,Americano,Medium,Coffee C,Male
35-44 years old,Pourover,Light,Coffee D,Male
25-34 years old,Cold brew,Medium,Coffee B,Male
25-34 years old,Regular drip coffee,Medium,Coffee D,Male
25-34 years old,Cortado,Medium,Coffee A,Male
35-44 years old,Cortado,Blonde,Coffee A,Male
55-64 years old,Regular drip coffee,Dark,Coffee B,Male
25-34 years old,Blended drink (e.g. Frappuccino),Italian,Coffee A,Male
25-34 years old,Mocha,Medium,Coffee B,Non-binary
35-44 years old,Iced coffee,Light,Coffee A,Male
45-54 years old,Espresso,Medium,Coffee C,Male
35-44 years old,Pourover,Light,Coffee D,Male
25-34 years old,Pourover,Light,Coffee D,Non-binary
25-34 years old,Cappuccino,Medium,Coffee A,Male
45-54 years old,Espresso,Light,Coffee A,Female
35-44 years old,Pourover,Light,Coffee D,Male
25-34 years old,Regular drip coffee,Light,Coffee D,Prefer not to say
25-34 years old,Pourover,Medium,Coffee B,Male
25-34 years old,Espresso,Medium,Coffee D,Male
>65 years old,Regular drip coffee,French,Coffee B,Male
35-44 years old,Iced coffee,Medium,Coffee C,Male
25-34 years old,Regular drip coffee,Medium,Coffee D,Male
25-34 years old,Regular drip coffee,Light,Coffee D,Male
18-24 years old,Cortado,Light,Coffee B,Female
25-34 years old,Americano,Light,Coffee C,Male
25-34 years old,Mocha,Dark,Coffee C,Female
25-34 years old,Pourover,Medium,Coffee C,Female
18-24 years old,Mocha,Medium,Coffee C,Male
25-34 years old,Other,Dark,Coffee D,Male
35-44 years old,Latte,Light,Coffee D,Male
25-34 years old,Latte,Medium,Coffee B,Female
25-34 years old,Cortado,Light,Coffee B,Male
25-34 years old,Pourover,Light,Coffee D,Male
35-44 years old,Regular drip coffee,Light,Coffee D,Male
25-34 years old,Cappuccino,Light,Coffee D,Male
25-34 years old,Espresso,Light,Coffee D,Male
35-44 years old,Other,Light,Coffee D,Male
25-34 years old,Pourover,Medium,Coffee D,Male
25-34 years old,Latte,Medium,Coffee C,Female
35-44 years old,Iced coffee,Medium,Coffee C,Male
25-34 years old,Pourover,Nordic,Coffee A,Male
35-44 years old,Latte,Medium,Coffee A,Female
35-44 years old,Espresso,Light,Coffee D,Male
25-34 years old,Latte,Light,Coffee A,Male
35-44 years old,Pourover,Light,Coffee D,Male
25-34 years old,Regular drip coffee,Light,Coffee D,Male
25-34 years old,Iced coffee,Medium,Coffee C,Male
18-24 years old,Regular drip coffee,Dark,Coffee B,Male
25-34 years old,Pourover,Light,Coffee D,Male
25-34 years old,Cortado,Light,Coffee D,Male
25-34 years old,Pourover,Medium,Coffee C,Female
25-34 years old,Americano,Light,Coffee B,Male
25-34 years old,Cappuccino,Medium,Coffee A,Male
25-34 years old,Regular drip coffee,Light,Coffee B,Male
18-24 years old,Latte,Light,Coffee C,Male
25-34 years old,Cortado,Medium,Coffee B,Male
18-24 years old,Americano,Medium,Coffee C,Male
25-34 years old,Cappuccino,Medium,Coffee D,Female
18-24 years old,Blended drink (e.g. Frappuccino),Medium,Coffee D,Non-binary
35-44 years old,Pourover,Light,Coffee D,Male
25-34 years old,Cappuccino,Light,Coffee D,Female
25-34 years old,Pourover,Medium,Coffee D,Male
25-34 years old,Mocha,Light,Coffee D,Male
35-44 years old,Cappuccino,Medium,Coffee A,Male
35-44 years old,Espresso,Medium,Coffee D,Male
25-34 years old,Latte,Medium,Coffee D,Male
45-54 years old,Pourover,Dark,Coffee B,Male
25-34 years old,Latte,Light,Coffee D,Male
35-44 years old,Pourover,Light,Coffee A,Male
18-24 years old,Latte,Light,Coffee B,Male
45-54 years old,Pourover,Medium,Coffee D,Male
<18 years old,Espresso,Light,Coffee D,Male
18-24 years old,Espresso,Light,Coffee D,Male
45-54 years old,Mocha,Medium,Coffee C,Male
25-34 years old,Cortado,Medium,Coffee D,Male
55-64 years old,Latte,Dark,Coffee A,Female
25-34 years old,Pourover,Light,Coffee A,Male
35-44 years old,Latte,Medium,Coffee B,Male
35-44 years old,Pourover,Medium,Coffee D,Male
25-34 years old,Iced coffee,Light,Coffee D,Male
35-44 years old,Regular drip coffee,Medium,Coffee D,Female
18-24 years old,Pourover,Light,Coffee D,Male
18-24 years old,Latte,Light,Coffee B,Female
45-54 years old,Regular drip coffee,Light,Coffee D,Male
25-34 years old,Pourover,Light,Coffee D,Male
18-24 years old,Cold brew,Medium,Coffee B,Non-binary
45-54 years old,Americano,Medium,Coffee C,Female
25-34 years old,Cappuccino,Light,Coffee A,Male
35-44 years old,Latte,Medium,Coffee A,Male
25-34 years old,Pourover,Light,Coffee D,Male
18-24 years old,Mocha,Light,Coffee C,Male
25-34 years old,Espresso,Medium,Coffee B,Male
35-44 years old,Regular drip coffee,Medium,Coffee B,Male
25-34 years old,Pourover,Light,Coffee D,Male
25-34 years old,Cappuccino,Medium,Coffee B,Male
25-34 years old,Cappuccino,Light,Coffee D,Male
25-34 years old,Regular drip coffee,Light,Coffee A,Male
25-34 years old,Pourover,Light,Coffee C,Female
25-34 years old,Iced coffee,Light,Coffee B,Male
45-54 years old,Cold brew,Medium,Coffee B,Male
>65 years old,Regular drip coffee,Medium,Coffee A,Female
25-34 years old,Iced coffee,Light,Coffee D,Male
45-54 years old,Americano,Medium,Coffee B,Male
25-34 years old,Americano,Medium,Coffee C,Male
25-34 years old,Pourover,Dark,Coffee C,Male
35-44 years old,Americano,Light,Coffee D,Male
35-44 years old,Cappuccino,Light,Coffee A,Male
45-54 years old,Regular drip coffee,Medium,Coffee D,Male
18-24 years old,Pourover,Light,Coffee D,Male
25-34 years old,Pourover,Light,Coffee B,Male
25-34 years old,Cortado,Light,Coffee D,Male
25-34 years old,Americano,Light,Coffee D,Male
25-34 years old,Cappuccino,Medium,Coffee B,Male
25-34 years old,Pourover,Light,Coffee D,Male
45-54 years old,Pourover,Light,Coffee A,Male
35-44 years old,Pourover,Light,Coffee D,Male
25-34 years old,Pourover,Light,Coffee D,Male
35-44 years old,Pourover,Light,Coffee A,Male
25-34 years old,Other,Light,Coffee A,Male
25-34 years old,Cold brew,Medium,Coffee C,Male
25-34 years old,Pourover,Light,Coffee B,Male
25-34 years old,Latte,Light,Coffee D,Female
25-34 years old,Espresso,Light,Coffee A,Male
25-34 years old,Regular drip coffee,Medium,Coffee A,Male
35-44 years old,Pourover,Light,Coffee D,Male
25-34 years old,Cortado,Light,Coffee C,Male
18-24 years old,Cappuccino,Light,Coffee C,Male
25-34 years old,Latte,Light,Coffee D,Male
25-34 years old,Iced coffee,Medium,Coffee A,Female
35-44 years old,Pourover,Light,Coffee D,Male
18-24 years old,Espresso,Nordic,Coffee D,Male
18-24 years old,Cappuccino,Light,Coffee A,Male
25-34 years old,Cappuccino,Medium,Coffee C,Male
45-54 years old,Pourover,Medium,Coffee D,Male
>65 years old,Latte,Medium,Coffee B,Male
45-54 years old,Regular drip coffee,Dark,Coffee D,Male
35-44 years old,Pourover,Light,Coffee C,Male
35-44 years old,Regular drip coffee,Light,Coffee D,Male
35-44 years old,Pourover,Light,Coffee A,Male
25-34 years old,Pourover,Light,Coffee D,Male
55-64 years old,Cortado,Medium,Coffee D,Male
18-24 years old,Mocha,Medium,Coffee A,Male
25-34 years old,Cortado,Italian,Coffee D,Female
25-34 years old,Iced coffee,Medium,Coffee A,Female
55-64 years old,Pourover,Dark,Coffee A,Female
35-44 years old,Espresso,Medium,Coffee A,Male
35-44 years old,Pourover,Light,Coffee D,Male
35-44 years old,Other,Medium,Coffee A,Male
25-34 years old,Cappuccino,Light,Coffee C,Female
25-34 years old,Cappuccino,Blonde,Coffee A,Male
55-64 years old,Cortado,Medium,Coffee C,Male
25-34 years old,Pourover,Light,Coffee C,Male
35-44 years old,Cappuccino,Light,Coffee A,Male
35-44 years old,Espresso,Medium,Coffee D,Male
35-44 years old,Pourover,Light,Coffee D,Male
18-24 years old,Pourover,Light,Coffee D,Male
25-34 years old,Iced coffee,Medium,Coffee C,Female
35-44 years old,Regular drip coffee,Medium,Coffee B,Female
18-24 years old,Latte,Medium,Coffee D,Female
35-44 years old,Iced coffee,Dark,Coffee A,Female
25-34 years old,Latte,Light,Coffee B,Male
35-44 years old,Iced coffee,Medium,Coffee D,Male
45-54 years old,Cold brew,Medium,Coffee D,Female
18-24 years old,Espresso,Light,Coffee A,Male
18-24 years old,Iced coffee,Light,Coffee B,Female
25-34 years old,Latte,Light,Coffee A,Female
25-34 years old,Pourover,Light,Coffee B,Male
25-34 years old,Regular drip coffee,Nordic,Coffee A,Male
55-64 years old,Pourover,Light,Coffee A,Male
25-34 years old,Regular drip coffee,Medium,Coffee C,Female
25-34 years old,Cappuccino,Medium,Coffee C,Female
45-54 years old,Latte,Medium,Coffee C,Male
35-44 years old,Regular drip coffee,Light,Coffee A,Female
25-34 years old,Pourover,Light,Coffee D,Male
25-34 years old,Pourover,Light,Coffee D,Male
25-34 years old,Latte,Medium,Coffee A,Male
25-34 years old,Americano,Dark,Coffee D,Female
25-34 years old,Blended drink (e.g. Frappuccino),Dark,Coffee B,Non-binary
55-64 years old,Regular drip coffee,Medium,Coffee C,Female
25-34 years old,Cortado,Medium,Coffee B,Male
25-34 years old,Cortado,Light,Coffee C,Male
25-34 years old,Cappuccino,Dark,Coffee D,Female
25-34 years old,Latte,Medium,Coffee D,Male
25-34 years old,Latte,Light,Coffee A,Female
25-34 years old,Cappuccino,Medium,Coffee A,Male
25-34 years old,Latte,Dark,Coffee B,Female
18-24 years old,Latte,Dark,Coffee C,Other (please specify)
25-34 years old,Latte,Light,Coffee C,Male
18-24 years old,Regular drip coffee,Light,Coffee C,Male
45-54 years old,Pourover,Medium,Coffee D,Male
35-44 years old,Pourover,Medium,Coffee D,Male
25-34 years old,Latte,Medium,Coffee C,Female
35-44 years old,Other,Medium,Coffee A,Male
25-34 years old,Regular drip coffee,Light,Coffee D,Female
25-34 years old,Pourover,Nordic,Coffee A,Male
25-34 years old,Latte,Medium,Coffee B,Male
45-54 years old,Cappuccino,Light,Coffee D,Male
25-34 years old,Cortado,Light,Coffee D,Male
35-44 years old,Latte,Dark,Coffee A,Male
25-34 years old,Espresso,Light,Coffee A,Male
25-34 years old,Regular drip coffee,Light,Coffee C,Female
25-34 years old,Regular drip coffee,Light,Coffee B,Male
35-44 years old,Iced coffee,Dark,Coffee B,Male
25-34 years old,Regular drip coffee,Medium,Coffee C,Female
25-34 years old,Cappuccino,Light,Coffee D,Male
25-34 years old,Pourover,Nordic,Coffee D,Male
25-34 years old,Latte,Medium,Coffee D,Female
55-64 years old,Pourover,Light,Coffee D,Female
35-44 years old,Pourover,Light,Coffee C,Prefer not to say
55-64 years old,Mocha,Dark,Coffee C,Female
45-54 years old,Pourover,Medium,Coffee A,Female
25-34 years old,Pourover,Light,Coffee D,Male
25-34 years old,Latte,Dark,Coffee C,Male
25-34 years old,Latte,Light,Coffee C,Male
25-34 years old,Mocha,Medium,Coffee B,Male
25-34 years old,Pourover,Medium,Coffee B,Male
35-44 years old,Cortado,Medium,Coffee B,Male
55-64 years old,Pourover,Light,Coffee A,Male
55-64 years old,Other,Light,Coffee B,Male
55-64 years old,Cappuccino,Dark,Coffee B,Male
25-34 years old,Pourover,Light,Coffee A,Male
25-34 years old,Mocha,Light,Coffee B,Female
35-44 years old,Pourover,Light,Coffee D,Male
25-34 years old,Americano,Dark,Coffee D,Male
45-54 years old,Cortado,Light,Coffee D,Male
35-44 years old,Mocha,Light,Coffee A,Female
25-34 years old,Regular drip coffee,Medium,Coffee C,Male
45-54 years old,Latte,Medium,Coffee C,Male
45-54 years old,Pourover,Medium,Coffee A,Female
25-34 years old,Cortado,Light,Coffee D,Male
25-34 years old,Pourover,Medium,Coffee A,Male
18-24 years old,Pourover,Medium,Coffee A,Male
25-34 years old,Americano,Light,Coffee B,Male
18-24 years old,Cappuccino,Medium,Coffee D,Male
>65 years old,Regular drip coffee,Dark,Coffee C,Prefer not to say
35-44 years old,Pourover,Medium,Coffee C,Male
18-24 years old,Iced coffee,Light,Coffee A,Male
25-34 years old,Latte,Medium,Coffee C,Male
35-44 years old,Cappuccino,Light,Coffee D,Male
18-24 years old,Espresso,Medium,Coffee D,Male
25-34 years old,Cappuccino,Light,Coffee D,Female
35-44 years old,Latte,Light,Coffee A,Female
35-44 years old,Pourover,Light,Coffee C,Male
25-34 years old,Espresso,Light,Coffee D,Male
35-44 years old,Americano,Light,Coffee B,Male
25-34 years old,Latte,Medium,Coffee C,Female
35-44 years old,Americano,Medium,Coffee C,Male
55-64 years old,Cold brew,Medium,Coffee D,Male
18-24 years old,Espresso,Light,Coffee D,Male
35-44 years old,Latte,Light,Coffee D,Female
25-34 years old,Regular drip coffee,Medium,Coffee B,Female
18-24 years old,Regular drip coffee,Medium,Coffee C,Male
25-34 years old,Pourover,Medium,Coffee C,Male
<18 years old,Latte,Medium,Coffee C,Female
25-34 years old,Latte,Medium,Coffee A,Female
25-34 years old,Latte,Light,Coffee B,Female
25-34 years old,Cappuccino,Medium,Coffee C,Female
25-34 years old,Iced coffee,Medium,Coffee A,Male
25-34 years old,Regular drip coffee,Medium,Coffee D,Male
25-34 years old,Pourover,Light,Coffee C,Male
25-34 years old,Espresso,Light,Coffee B,Female
18-24 years old,Latte,Light,Coffee D,Female
18-24 years old,Espresso,Dark,Coffee D,Non-binary
25-34 years old,Latte,Light,Coffee A,Male
25-34 years old,Pourover,Light,Coffee A,Male
55-64 years old,Latte,Medium,Coffee D,Male
25-34 years old,Cold brew,Medium,Coffee B,Prefer not to say
35-44 years old,Pourover,Light,Coffee B,Male
35-44 years old,Latte,Light,Coffee A,Female
35-44 years old,Cappuccino,Dark,Coffee C,Non-binary
45-54 years old,Cappuccino,Medium,Coffee A,Male
25-34 years old,Latte,Medium,Coffee C,Female
25-34 years old,Latte,Medium,Coffee B,Male
25-34 years old,Cortado,Blonde,Coffee D,Male
35-44 years old,Iced coffee,Dark,Coffee C,Male
25-34 years old,Regular drip coffee,Medium,Coffee D,Male
35-44 years old,Pourover,Medium,Coffee A,Male
25-34 years old,Americano,Medium,Coffee C,Male
25-34 years old,Espresso,Nordic,Coffee C,Male
55-64 years old,Cortado,Medium,Coffee D,Male
25-34 years old,Pourover,Light,Coffee D,Male
45-54 years old,Americano,Medium,Coffee B,Female
55-64 years old,Latte,Medium,Coffee A,Male
55-64 years old,Pourover,Medium,Coffee B,Female
25-34 years old,Latte,Medium,Coffee D,Male
35-44 years old,Pourover,Light,Coffee D,Male
35-44 years old,Cappuccino,Medium,Coffee C,Male
35-44 years old,Mocha,Dark,Coffee A,Male
25-34 years old,Latte,Dark,Coffee C,Female
25-34 years old,Pourover,Medium,Coffee D,Male
25-34 years old,Pourover,Medium,Coffee D,Male
18-24 years old,Cortado,Light,Coffee D,Male
45-54 years old,Latte,Light,Coffee D,Male
25-34 years old,Pourover,Medium,Coffee D,Male
35-44 years old,Cappuccino,Medium,Coffee C,Male
35-44 years old,Latte,Dark,Coffee B,Male
18-24 years old,Cold brew,Medium,Coffee C,Male
18-24 years old,Americano,Light,Coffee D,Female
35-44 years old,Pourover,Medium,Coffee D,Male
18-24 years old,Cappuccino,Medium,Coffee C,Female
25-34 years old,Latte,Light,Coffee C,Female
25-34 years old,Latte,Dark,Coffee A,Female
18-24 years old,Espresso,Light,Coffee D,Male
25-34 years old,Iced coffee,Blonde,Coffee C,Female
35-44 years old,Iced coffee,Medium,Coffee B,Male
25-34 years old,Latte,Medium,Coffee B,Male
25-34 years old,Latte,Light,Coffee D,Male
25-34 years old,Espresso,Light,Coffee D,Male
25-34 years old,Regular drip coffee,Medium,Coffee C,Female
25-34 years old,Regular drip coffee,Light,Coffee D,Male
25-34 years old,Regular drip coffee,Light,Coffee D,Female
25-34 years old,Latte,Medium,Coffee C,Female
25-34 years old,Pourover,Medium,Coffee D,Male
25-34 years old,Pourover,Light,Coffee D,Male
45-54 years old,Latte,Medium,Coffee D,Male
35-44 years old,Pourover,Light,Coffee D,Male
35-44 years old,Pourover,Medium,Coffee D,Male
18-24 years old,Pourover,Medium,Coffee C,Male
25-34 years old,Cortado,Light,Coffee D,Male
25-34 years old,Pourover,Light,Coffee D,Female
25-34 years old,Pourover,Light,Coffee A,Female
>65 years old,Espresso,Medium,Coffee B,Female
25-34 years old,Iced coffee,Blonde,Coffee D,Female
35-44 years old,Latte,Medium,Coffee B,Male
25-34 years old,Pourover,Light,Coffee D,Female
25-34 years old,Cappuccino,Medium,Coffee C,Female
35-44 years old,Other,Medium,Coffee D,Female
35-44 years old,Cortado,Light,Coffee B,Male
25-34 years old,Espresso,Nordic,Coffee D,Male
18-24 years old,Cold brew,Medium,Coffee D,Male
25-34 years old,Pourover,Light,Coffee D,Male
18-24 years old,Cappuccino,Medium,Coffee B,Other (please specify)
18-24 years old,Latte,Dark,Coffee D,Other (please specify)
35-44 years old,Espresso,Medium,Coffee D,Male
25-34 years old,Latte,Light,Coffee A,Female
35-44 years old,Pourover,Medium,Coffee C,Male
25-34 years old,Mocha,Medium,Coffee A,Female
55-64 years old,Pourover,Light,Coffee D,Male
25-34 years old,Espresso,Light,Coffee D,Male
35-44 years old,Pourover,Light,Coffee A,Female
25-34 years old,Cappuccino,Medium,Coffee C,Male
35-44 years old,Regular drip coffee,Dark,Coffee B,Male
35-44 years old,Espresso,Light,Coffee D,Male
25-34 years old,Pourover,Light,Coffee B,Male
25-34 years old,Latte,Medium,Coffee D,Male
25-34 years old,Cortado,Medium,Coffee A,Male
25-34 years old,Pourover,Light,Coffee D,Female
18-24 years old,Regular drip coffee,Medium,Coffee D,Male
25-34 years old,Latte,Medium,Coffee B,Female
35-44 years old,Cappuccino,Light,Coffee A,Female
25-34 years old,Latte,Nordic,Coffee C,Non-binary
35-44 years old,Other,Light,Coffee B,Male
45-54 years old,Pourover,Medium,Coffee C,Male
25-34 years old,Pourover,Medium,Coffee D,Female
25-34 years old,Regular drip coffee,Medium,Coffee C,Male
25-34 years old,Pourover,Light,Coffee A,Male
25-34 years old,Cortado,Medium,Coffee A,Male
35-44 years old,Pourover,Light,Coffee A,Male
25-34 years old,Cortado,Medium,Coffee D,Male
35-44 years old,Pourover,Light,Coffee D,Male
25-34 years old,Pourover,Light,Coffee D,Male
35-44 years old,Pourover,Light,Coffee A,Male
25-34 years old,Pourover,Light,Coffee A,Male
45-54 years old,Latte,Medium,Coffee A,Male
18-24 years old,Pourover,Medium,Coffee C,Male
25-34 years old,Cappuccino,Dark,Coffee B,Female
25-34 years old,Regular drip coffee,Medium,Coffee D,Male
25-34 years old,Latte,Medium,Coffee B,Male
25-34 years old,Espresso,Light,Coffee A,Male
18-24 years old,Cappuccino,Light,Coffee C,Prefer not to say
35-44 years old,Latte,Light,Coffee D,Male
25-34 years old,Pourover,Medium,Coffee B,Female
45-54 years old,Regular drip coffee,Light,Coffee B,Female
25-34 years old,Regular drip coffee,Light,Coffee D,Male
18-24 years old,Americano,Dark,Coffee C,Male
25-34 years old,Latte,Medium,Coffee D,Male
25-34 years old,Pourover,Light,Coffee A,Male
25-34 years old,Pourover,Light,Coffee B,Male
25-34 years old,Americano,Medium,Coffee C,Male
25-34 years old,Cortado,Medium,Coffee C,Female
35-44 years old,Cortado,Medium,Coffee C,Male
25-34 years old,Latte,Medium,Coffee D,Female
25-34 years old,Pourover,Medium,Coffee C,Male
25-34 years old,Espresso,Light,Coffee D,Male
18-24 years old,Iced coffee,Light,Coffee A,Male
25-34 years old,Cappuccino,Medium,Coffee D,Male
25-34 years old,Regular drip coffee,Light,Coffee C,Male
35-44 years old,Espresso,Light,Coffee B,Male
25-34 years old,Other,Medium,Coffee B,Male
25-34 years old,Regular drip coffee,Medium,Coffee A,Male
25-34 years old,Blended drink (e.g. Frappuccino),Medium,Coffee B,Male
25-34 years old,Latte,Medium,Coffee B,Female
35-44 years old,Cortado,Light,Coffee D,Male
25-34 years old,Espresso,Nordic,Coffee D,Male
25-34 years old,Espresso,Light,Coffee D,Male
25-34 years old,Cortado,Light,Coffee A,Male
45-54 years old,Pourover,Light,Coffee C,Male
25-34 years old,Cold brew,Medium,Coffee D,Female
18-24 years old,Other,Light,Coffee D,Male
25-34 years old,Cortado,Light,Coffee D,Male
25-34 years old,Mocha,Medium,Coffee C,Male
25-34 years old,Latte,Blonde,Coffee B,Female
>65 years old,Latte,Medium,Coffee B,Male
25-34 years old,Americano,Medium,Coffee B,Male
25-34 years old,Iced coffee,Light,Coffee C,Male
25-34 years old,Iced coffee,Nordic,Coffee A,Male
18-24 years old,Americano,Medium,Coffee B,Male
18-24 years old,Iced coffee,Light,Coffee B,Female
35-44 years old,Latte,Light,Coffee D,Male
35-44 years old,Cappuccino,Light,Coffee A,Non-binary
25-34 years old,Latte,Light,Coffee A,Male
18-24 years old,Cortado,Light,Coffee D,Male
25-34 years old,Pourover,Light,Coffee D,Male
25-34 years old,Pourover,Light,Coffee D,Male
18-24 years old,Mocha,Dark,Coffee B,Male
25-34 years old,Latte,Medium,Coffee A,Female
35-44 years old,Latte,Medium,Coffee B,Male
35-44 years old,Espresso,Light,Coffee A,Non-binary
25-34 years old,Pourover,Light,Coffee D,Male
25-34 years old,Pourover,Light,Coffee D,Male
35-44 years old,Cappuccino,Medium,Coffee B,Male
25-34 years old,Espresso,Medium,Coffee C,Female
35-44 years old,Pourover,Light,Coffee D,Male
35-44 years old,Pourover,Light,Coffee A,Non-binary
25-34 years old,Espresso,Light,Coffee D,Male
25-34 years old,Pourover,Medium,Coffee D,Male
18-24 years old,Other,Medium,Coffee C,Male
18-24 years old,Latte,Medium,Coffee B,Female
25-34 years old,Americano,Light,Coffee D,Male
18-24 years old,Latte,Light,Coffee A,Male
25-34 years old,Latte,Medium,Coffee B,Male
25-34 years old,Cortado,Dark,Coffee B,Male
35-44 years old,Iced coffee,Medium,Coffee C,Male
25-34 years old,Iced coffee,Medium,Coffee A,Male
35-44 years old,Espresso,Dark,Coffee C,Male
25-34 years old,Pourover,Medium,Coffee A,Male
25-34 years old,Latte,Light,Coffee D,Male
25-34 years old,Espresso,Medium,Coffee A,Male
25-34 years old,Cappuccino,Medium,Coffee B,Female
25-34 years old,Iced coffee,Light,Coffee C,Female
18-24 years old,Espresso,Light,Coffee A,Male
45-54 years old,Regular drip coffee,Light,Coffee D,Male
<18 years old,Pourover,Light,Coffee D,Male
55-64 years old,Latte,Medium,Coffee B,Male
45-54 years old,Latte,Light,Coffee B,Male
25-34 years old,Cortado,Medium,Coffee D,Non-binary
25-34 years old,Americano,Light,Coffee A,Male
45-54 years old,Pourover,Light,Coffee D,Male
18-24 years old,Regular drip coffee,Light,Coffee D,Non-binary
25-34 years old,Pourover,Nordic,Coffee D,Male
18-24 years old,Other,Medium,Coffee C,Female
25-34 years old,Pourover,Medium,Coffee C,Male
25-34 years old,Pourover,Medium,Coffee B,Male
45-54 years old,Latte,Medium,Coffee B,Male
25-34 years old,Latte,Medium,Coffee C,Male
25-34 years old,Pourover,Medium,Coffee C,Male
25-34 years old,Pourover,Light,Coffee D,Male
35-44 years old,Cortado,Light,Coffee D,Male
25-34 years old,Iced coffee,Light,Coffee A,Non-binary
35-44 years old,Pourover,Dark,Coffee B,Male
25-34 years old,Regular drip coffee,Dark,Coffee C,Male
25-34 years old,Regular drip coffee,Medium,Coffee A,Female
35-44 years old,Iced coffee,Medium,Coffee C,Male
25-34 years old,Pourover,Light,Coffee D,Male
25-34 years old,Americano,Medium,Coffee B,Female
35-44 years old,Pourover,Medium,Coffee D,Female
25-34 years old,Latte,Dark,Coffee C,Male
45-54 years old,Pourover,Light,Coffee A,Male
25-34 years old,Pourover,Light,Coffee D,Male
25-34 years old,Pourover,Light,Coffee A,Male
25-34 years old,Cold brew,Medium,Coffee A,Male
18-24 years old,Regular drip coffee,Dark,Coffee B,Male
25-34 years old,Pourover,Light,Coffee D,Male
55-64 years old,Pourover,Medium,Coffee A,Male
25-34 years old,Pourover,Light,Coffee D,Male
25-34 years old,Other,Medium,Coffee C,Non-binary
25-34 years old,Cappuccino,Light,Coffee D,Male
25-34 years old,Latte,Medium,Coffee C,Female
25-34 years old,Latte,Dark,Coffee C,Male
25-34 years old,Cortado,Medium,Coffee D,Non-binary
25-34 years old,Latte,Medium,Coffee C,Male
45-54 years old,Espresso,Light,Coffee A,Female
25-34 years old,Latte,Blonde,Coffee A,Female
55-64 years old,Latte,Medium,Coffee C,Female
